        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.43500000e+00,        -2.500240064267e+00,        -2.983910101564e+01
 2.43500500e+00,        -2.500418429037e+00,        -2.983989019810e+01
 2.43501000e+00,        -2.500597236783e+00,        -2.984068113414e+01
 2.43501500e+00,        -2.500776489304e+00,        -2.984147383057e+01
 2.43502000e+00,        -2.500956188408e+00,        -2.984226829423e+01
 2.43502500e+00,        -2.501136335914e+00,        -2.984306453200e+01
 2.43503000e+00,        -2.501316933648e+00,        -2.984386255078e+01
 2.43503500e+00,        -2.501497983449e+00,        -2.984466235753e+01
 2.43504000e+00,        -2.501679487165e+00,        -2.984546395923e+01
 2.43504500e+00,        -2.501861446654e+00,        -2.984626736290e+01
 2.43505000e+00,        -2.502043863784e+00,        -2.984707257558e+01
 2.43505500e+00,        -2.502226740433e+00,        -2.984787960438e+01
 2.43506000e+00,        -2.502410078489e+00,        -2.984868845643e+01
 2.43506500e+00,        -2.502593879853e+00,        -2.984949913889e+01
 2.43507000e+00,        -2.502778146432e+00,        -2.985031165896e+01
 2.43507500e+00,        -2.502962880147e+00,        -2.985112602390e+01
 2.43508000e+00,        -2.503148082930e+00,        -2.985194224097e+01
 2.43508500e+00,        -2.503333756719e+00,        -2.985276031751e+01
 2.43509000e+00,        -2.503519903469e+00,        -2.985358026086e+01
 2.43509500e+00,        -2.503706525140e+00,        -2.985440207843e+01
 2.43510000e+00,        -2.503893623708e+00,        -2.985522577764e+01
 2.43510500e+00,        -2.504081201155e+00,        -2.985605136598e+01
 2.43511000e+00,        -2.504269259479e+00,        -2.985687885095e+01
 2.43511500e+00,        -2.504457800685e+00,        -2.985770824012e+01
 2.43512000e+00,        -2.504646826791e+00,        -2.985853954107e+01
 2.43512500e+00,        -2.504836339826e+00,        -2.985937276144e+01
 2.43513000e+00,        -2.505026341831e+00,        -2.986020790891e+01
 2.43513500e+00,        -2.505216834857e+00,        -2.986104499119e+01
 2.43514000e+00,        -2.505407820968e+00,        -2.986188401604e+01
 2.43514500e+00,        -2.505599302239e+00,        -2.986272499126e+01
 2.43515000e+00,        -2.505791280755e+00,        -2.986356792470e+01
 2.43515500e+00,        -2.505983758616e+00,        -2.986441282422e+01
 2.43516000e+00,        -2.506176737932e+00,        -2.986525969776e+01
 2.43516500e+00,        -2.506370220823e+00,        -2.986610855328e+01
 2.43517000e+00,        -2.506564209425e+00,        -2.986695939881e+01
 2.43517500e+00,        -2.506758705884e+00,        -2.986781224238e+01
 2.43518000e+00,        -2.506953712357e+00,        -2.986866709209e+01
 2.43518500e+00,        -2.507149231015e+00,        -2.986952395610e+01
 2.43519000e+00,        -2.507345264041e+00,        -2.987038284258e+01
 2.43519500e+00,        -2.507541813630e+00,        -2.987124375976e+01
 2.43520000e+00,        -2.507738881989e+00,        -2.987210671591e+01
 2.43520500e+00,        -2.507936471340e+00,        -2.987297171936e+01
 2.43521000e+00,        -2.508134583914e+00,        -2.987383877847e+01
 2.43521500e+00,        -2.508333221958e+00,        -2.987470790164e+01
 2.43522000e+00,        -2.508532387731e+00,        -2.987557909734e+01
 2.43522500e+00,        -2.508732083503e+00,        -2.987645237407e+01
 2.43523000e+00,        -2.508932311560e+00,        -2.987732774037e+01
 2.43523500e+00,        -2.509133074199e+00,        -2.987820520483e+01
 2.43524000e+00,        -2.509334373731e+00,        -2.987908477611e+01
 2.43524500e+00,        -2.509536212481e+00,        -2.987996646289e+01
 2.43525000e+00,        -2.509738592786e+00,        -2.988085027391e+01
 2.43525500e+00,        -2.509941516999e+00,        -2.988173621796e+01
 2.43526000e+00,        -2.510144987482e+00,        -2.988262430386e+01
 2.43526500e+00,        -2.510349006617e+00,        -2.988351454050e+01
 2.43527000e+00,        -2.510553576794e+00,        -2.988440693681e+01
 2.43527500e+00,        -2.510758700420e+00,        -2.988530150178e+01
 2.43528000e+00,        -2.510964379916e+00,        -2.988619824443e+01
 2.43528500e+00,        -2.511170617716e+00,        -2.988709717385e+01
 2.43529000e+00,        -2.511377416270e+00,        -2.988799829916e+01
 2.43529500e+00,        -2.511584778040e+00,        -2.988890162956e+01
 2.43530000e+00,        -2.511792705504e+00,        -2.988980717427e+01
 2.43530500e+00,        -2.512001201153e+00,        -2.989071494259e+01
 2.43531000e+00,        -2.512210267496e+00,        -2.989162494383e+01
 2.43531500e+00,        -2.512419907053e+00,        -2.989253718741e+01
 2.43532000e+00,        -2.512630122361e+00,        -2.989345168275e+01
 2.43532500e+00,        -2.512840915972e+00,        -2.989436843936e+01
 2.43533000e+00,        -2.513052290451e+00,        -2.989528746678e+01
 2.43533500e+00,        -2.513264248381e+00,        -2.989620877462e+01
 2.43534000e+00,        -2.513476792358e+00,        -2.989713237252e+01
 2.43534500e+00,        -2.513689924995e+00,        -2.989805827021e+01
 2.43535000e+00,        -2.513903648921e+00,        -2.989898647745e+01
 2.43535500e+00,        -2.514117966778e+00,        -2.989991700405e+01
 2.43536000e+00,        -2.514332881226e+00,        -2.990084985991e+01
 2.43536500e+00,        -2.514548394941e+00,        -2.990178505494e+01
 2.43537000e+00,        -2.514764510614e+00,        -2.990272259913e+01
 2.43537500e+00,        -2.514981230953e+00,        -2.990366250255e+01
 2.43538000e+00,        -2.515198558680e+00,        -2.990460477528e+01
 2.43538500e+00,        -2.515416496537e+00,        -2.990554942749e+01
 2.43539000e+00,        -2.515635047280e+00,        -2.990649646940e+01
 2.43539500e+00,        -2.515854213683e+00,        -2.990744591128e+01
 2.43540000e+00,        -2.516073998534e+00,        -2.990839776348e+01
 2.43540500e+00,        -2.516294404642e+00,        -2.990935203638e+01
 2.43541000e+00,        -2.516515434830e+00,        -2.991030874045e+01
 2.43541500e+00,        -2.516737091939e+00,        -2.991126788620e+01
 2.43542000e+00,        -2.516959378827e+00,        -2.991222948420e+01
 2.43542500e+00,        -2.517182298371e+00,        -2.991319354510e+01
 2.43543000e+00,        -2.517405853463e+00,        -2.991416007960e+01
 2.43543500e+00,        -2.517630047014e+00,        -2.991512909845e+01
 2.43544000e+00,        -2.517854881953e+00,        -2.991610061248e+01
 2.43544500e+00,        -2.518080361227e+00,        -2.991707463257e+01
 2.43545000e+00,        -2.518306487800e+00,        -2.991805116968e+01
 2.43545500e+00,        -2.518533264655e+00,        -2.991903023481e+01
 2.43546000e+00,        -2.518760694793e+00,        -2.992001183905e+01
 2.43546500e+00,        -2.518988781235e+00,        -2.992099599354e+01
 2.43547000e+00,        -2.519217527018e+00,        -2.992198270949e+01
 2.43547500e+00,        -2.519446935200e+00,        -2.992297199816e+01
 2.43548000e+00,        -2.519677008856e+00,        -2.992396387090e+01
 2.43548500e+00,        -2.519907751082e+00,        -2.992495833912e+01
 2.43549000e+00,        -2.520139164993e+00,        -2.992595541429e+01
 2.43549500e+00,        -2.520371253721e+00,        -2.992695510794e+01
 2.43550000e+00,        -2.520604020421e+00,        -2.992795743169e+01
 2.43550500e+00,        -2.520837468265e+00,        -2.992896239721e+01
 2.43551000e+00,        -2.521071600445e+00,        -2.992997001626e+01
 2.43551500e+00,        -2.521306420175e+00,        -2.993098030064e+01
 2.43552000e+00,        -2.521541930688e+00,        -2.993199326224e+01
 2.43552500e+00,        -2.521778135236e+00,        -2.993300891303e+01
 2.43553000e+00,        -2.522015037092e+00,        -2.993402726502e+01
 2.43553500e+00,        -2.522252639553e+00,        -2.993504833032e+01
